symbol,date,open,high,low,close,adjusted_close,volume,shl_HighLow,shl_Level,bos_BOS,bos_CHOCH,bos_Level,bos_BrokenIndex,ob_OB,ob_Top,ob_Bottom,ob_OBVolume,ob_MitigatedIndex,ob_Percentage,fvg_FVG,fvg_Top,fvg_Bottom,fvg_MitigatedIndex,liq_Liquidity,liq_Level,liq_End,liq_Swept,CoC+,level
ICICIGI.NSE,2025-04-15,1760.0,1833.3,1736.0,1793.4,1786.7136,4016129,,,,,,,,,,,,,,,,,,,,,0.0,
ICICIGI.NSE,2025-04-21,1799.0,1908.7,1783.0,1854.1,1847.1872,3361326,1.0,1908.7,1.0,,1908.7,283.0,,,,,,,1.0,1836.5,1833.3,279.0,,,,,0.0,
ICICIGI.NSE,2025-04-28,1845.0,1895.0,1836.5,1853.4,1846.4899,3224390,,,,,,,,,,,,,,,,,,,,,0.0,
ICICIGI.NSE,2025-05-05,1872.1,1879.9,1748.0,1782.2,1775.5553,2622644,-1.0,1748.0,,,,,1.0,1879.9,1748.0,13178160.0,0.0,46.935005,,,,,,,,,0.0,
ICICIGI.NSE,2025-05-12,1814.4,1880.0,1799.1,1849.6,1849.6,2968317,,,,,,,,,,,,,,,,,,,,,0.0,
ITC.NSE,2024-04-15,428.0,429.15,416.0,424.75,403.4292,56614903,-1.0,416.0,,,,267.0,,,,,,,,,,,,,,,1.0,416.0
ITC.NSE,2024-04-22,427.0,443.3,423.35,440.0,417.9137,68964685,,,,,,,,,,,,,1.0,431.35,429.15,227.0,,,,,0.0,
ITC.NSE,2024-04-29,442.0,442.6,431.35,436.45,414.5419,69825110,,,,,,,,,,,,,,,,,,,,,0.0,
ITC.NSE,2024-05-06,438.0,446.0,423.35,433.35,411.5975,84234195,1.0,446.0,,1.0,446.0,236.0,,,,,,,,,,,,,,,0.0,
ITC.NSE,2024-05-13,433.25,437.5,422.9,436.3,414.3994,60347042,,,,,,,,,,,,,,,,,,,,,0.0,
ITC.NSE,2024-05-21,436.0,444.9,433.2,436.2,414.3044,60384147,,,,,,,,,,,,,,,,,,,,,0.0,
INDHOTEL.NSE,2021-12-27,173.0,184.35,172.15,180.75,178.8849,20738128,-1.0,172.15,,,,,1.0,184.35,172.15,82373920.0,0.0,33.646244,,,,,,,,,1.0,172.15
INDHOTEL.NSE,2022-01-03,179.8,188.45,178.05,186.35,184.4271,21636413,,,,,,,,,,,,,,,,,,,,,0.0,
INDHOTEL.NSE,2022-01-10,184.0,213.95,184.0,210.7,208.5258,39999376,,,,,,,,,,,,,1.0,202.85,188.45,108.0,,,,,0.0,
INDHOTEL.NSE,2022-01-17,210.45,214.0,202.85,206.35,204.2207,18005597,,,,,,,,,,,,,,,,,,,,,0.0,
INDHOTEL.NSE,2022-01-24,205.0,211.8,190.85,207.3,205.1609,23557259,,,,,,,,,,,,,,,,,,,,,0.0,
INDHOTEL.NSE,2022-01-31,208.5,226.55,208.5,216.55,214.3155,37316747,1.0,226.55,1.0,,226.55,116.0,,,,,,,,,,,,,,,0.0,
INDHOTEL.NSE,2023-08-14,386.9,387.6,376.9,381.65,379.3897,9826059,-1.0,376.9,,,,,,,,,,,,,,,,,,,1.0,376.9
INDHOTEL.NSE,2023-08-21,381.0,408.45,377.4,392.0,389.6784,19993341,,,,,,,,,,,,,1.0,391.55,387.6,199.0,,,,,0.0,
INDHOTEL.NSE,2023-08-28,393.0,427.5,391.55,424.25,421.7375,29047516,,,,,,,,,,,,,1.0,418.1,408.45,193.0,,,,,0.0,
INDHOTEL.NSE,2023-09-04,424.5,436.45,418.1,429.55,427.0061,16189926,1.0,436.45,,,,,,,,,,,,,,,,,,,0.0,
INDHOTEL.NSE,2023-09-11,430.45,433.75,407.35,416.65,414.1825,19458450,,,,,,,,,,,,,,,,,,,,,0.0,
INDHOTEL.NSE,2023-09-18,419.8,421.55,402.65,406.25,403.8441,9090620,,,,,,,,,,,,,,,,,,,,,0.0,
INDHOTEL.NSE,2025-08-04,742.3,755.45,732.8,735.75,735.75,10320244,-1.0,732.8,,,,,1.0,755.45,732.8,38201430.0,0.0,37.01508,,,,,,,,,1.0,732.8
INDHOTEL.NSE,2025-08-11,736.0,776.9,735.1,774.35,774.35,8707481,,,,,,,,,,,,,1.0,766.05,755.45,295.0,,,,,0.0,
INDHOTEL.NSE,2025-08-18,780.0,811.95,766.05,788.85,788.85,19173706,1.0,811.95,,,,,,,,,,,,,,,,,,,0.0,
INDHOTEL.NSE,2025-08-25,791.0,795.65,757.0,758.45,758.45,9244888,,,,,,,,,,,,,,,,,,,,,0.0,
INDHOTEL.NSE,2025-09-01,759.0,789.75,755.5,774.75,774.75,8409544,,,,,,,,,,,,,,,,,,,,,0.0,
INDHOTEL.NSE,2025-09-08,777.0,785.8,766.15,775.5,775.5,4413742,-1.0,766.15,,,,,,,,,,,,,,,,,,,0.0,
IRFC.NSE,2025-04-07,113.0,126.69,113.0,124.2,124.2,55107422,-1.0,113.0,,,,,1.0,126.69,113.0,312258200.0,0.0,26.96895,,,,,,,,,1.0,113.0
IRFC.NSE,2025-04-15,125.79,131.0,125.0,129.47,129.47,47452256,,,,,,,,,,,,,,,,,,,,,0.0,
IRFC.NSE,2025-04-21,130.0,137.66,126.22,128.0,128.0,117232608,,,,,,,,,,,,,,,,,,,,,0.0,
IRFC.NSE,2025-04-28,128.0,129.6,123.5,124.4,124.4,66325476,,,,,,,,,,,,,-1.0,126.22,125.89,224.0,,,,,0.0,
IRFC.NSE,2025-05-05,124.86,125.89,114.33,116.42,116.42,71088602,,,,,,,,,,,,,,,,,,,,,0.0,
IRFC.NSE,2025-05-12,122.5,140.22,120.88,138.61,138.61,174844128,,,,,,,,,,,,,1.0,134.59,125.89,229.0,,,,,0.0,
INDUSINDBK.NSE,2021-08-23,988.1,1013.9,964.1,990.2,960.9554,11870605,-1.0,964.1,,-1.0,964.1,99.0,,,,,,,,,,,,,,,1.0,964.1
INDUSINDBK.NSE,2021-08-30,995.3,1028.65,990.0,1003.75,974.1052,17362168,,,,,,,,,,,,,,,,,,,,,0.0,
INDUSINDBK.NSE,2021-09-06,1006.0,1021.8,984.15,999.5,969.9807,18412372,,,,,,,,,,,,,,,,,,,,,0.0,
INDUSINDBK.NSE,2021-09-13,1004.0,1186.5,992.65,1130.0,1096.6265,49311272,,,,,,,,,,,,,1.0,1084.6,1021.8,97.0,,,,,0.0,
INDUSINDBK.NSE,2021-09-20,1115.0,1189.35,1084.6,1163.05,1128.7004,24368841,,,,,,,,,,,,,,,,,,,,,0.0,
INDUSINDBK.NSE,2021-09-27,1172.0,1177.95,1091.3,1104.05,1071.4429,17463341,,,,,,,,,,,,,,,,,,,,,0.0,
INFY.NSE,2021-11-29,1691.0,1786.65,1669.15,1737.6,1583.3485,36258589,-1.0,1669.15,,,,120.0,,,,,,,,,,,,,,,1.0,1669.15
INFY.NSE,2021-12-06,1730.0,1769.4,1691.5,1757.05,1601.0719,15128380,,,,,,,,,,,,,,,,,,,,,0.0,
INFY.NSE,2021-12-13,1767.05,1842.0,1710.35,1823.0,1661.1673,35230151,,,,,,,,,,,,,1.0,1787.3,1769.4,107.0,,,,,0.0,
INFY.NSE,2021-12-20,1801.7,1875.75,1787.3,1863.4,1697.9809,23177183,,,,,,,,,,,,,1.0,1845.05,1842.0,105.0,,,,,0.0,
INFY.NSE,2021-12-27,1860.0,1909.8,1845.05,1893.0,1724.9532,18429459,,,,,,,,,,,,,,,,,,,,,0.0,
INFY.NSE,2022-01-03,1887.75,1914.05,1800.0,1816.0,1654.7887,25530928,,,,,,,,,,,,,,,,,,,,,0.0,
JSWENERGY.NSE,2020-05-04,41.7,42.9,38.0,40.75,38.6564,4211963,-1.0,38.0,,,,,1.0,42.9,38.0,61911092.0,0.0,24.495298,,,,,,,,,1.0,38.0
JSWENERGY.NSE,2020-05-11,40.9,42.35,38.8,39.6,37.5655,3396564,,,,,,,,,,,,,,,,,,,,,0.0,
JSWENERGY.NSE,2020-05-18,40.45,43.0,38.5,39.25,37.2335,9969977,,,,,,,,,,,,,,,,,,,,,0.0,
JSWENERGY.NSE,2020-05-26,39.85,41.9,38.9,40.05,37.9924,12181430,,,,,,,,,,,,,,,,,,,,,0.0,
JSWENERGY.NSE,2020-06-01,40.55,46.65,40.55,44.3,42.024,21271743,,,,,,,,,,,,,1.0,44.25,41.9,28.0,,,,,0.0,
JSWENERGY.NSE,2020-06-08,46.0,48.8,44.25,48.1,45.6288,28457920,,,,,,,,,,,,,,,,,,,,,0.0,
JSWSTEEL.NSE,2025-05-05,959.8,975.0,935.0,957.0,954.4299,7250855,-1.0,935.0,,,,,,,,,,,,,,,,,,,1.0,935.0
JSWSTEEL.NSE,2025-05-12,973.0,1044.6,969.7,1021.8,1019.0559,10266094,,,,,,,,,,,,,1.0,987.9,975.0,282.0,,,,,0.0,
JSWSTEEL.NSE,2025-05-19,1033.9,1034.5,987.9,1008.5,1005.7916,6785653,,,,,,,,,,,,,,,,,,,,,0.0,
