Code,Name,Country,Exchange,Currency,Type,Isin,Company Name,Industry_x,Symbol,Series,ISIN Code,Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry_y,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
RRKABEL,R R Kabel Limited,India,NSE,INR,Common Stock,,R R Kabel Ltd.,Capital Goods,RRKABEL,EQ,INE777K01022,543981,R R KABEL LIMITED,RRKABEL,R R Kabel Ltd,Active,A ,5.00,INE777K01022,Cables - Electricals,Equity,Industrials,Capital Goods,Industrial Products,Cables - Electricals
RTNINDIA,RattanIndia Enterprises Limited,India,NSE,INR,Common Stock,INE834M01019,RattanIndia Enterprises Ltd.,Consumer Services,RTNINDIA,EQ,INE834M01019,534597,RATTANINDIA ENTERPRISES LIMITED,RTNINDIA,Rattanindia Enterprises Ltd,Active,B ,2.00,INE834M01019,E-Retail/ E-Commerce,Equity,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce
RVNL,Rail Vikas Nigam Limited,India,NSE,INR,Common Stock,INE415G01027,Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027,542649,Rail Vikas Nigam Limited,RVNL,Rail Vikas Nigam Ltd,Active,A ,10.00,INE415G01027,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
SAGILITY,SAGILITY INDIA LIMITED,India,NSE,INR,Common Stock,INE0W2G01015,Sagility India Ltd.,Information Technology,SAGILITY,EQ,INE0W2G01015,544282,Sagility India Limited,SAGILITY,Sagility India Ltd,Active,B ,10.00,INE0W2G01015,IT Enabled Services,Equity,Information Technology,Information Technology,IT - Services,IT Enabled Services
SAIL,Steel Authority of India Limited,India,NSE,INR,Common Stock,INE114A01011,Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011,500113,Steel Authority of India Ltd.,SAIL,Steel Authority of India Ltd,Active,A ,10.00,INE114A01011,Iron & Steel,Equity,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
SAILIFE,SAI LIFE SCIENCES LTD,India,NSE,INR,Common Stock,,Sai Life Sciences Ltd.,Healthcare,SAILIFE,EQ,INE570L01029,544306,Sai Life Sciences Limited,SAILIFE,Sai Life Sciences Ltd,Active,B ,1.00,INE570L01029,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
SAMMAANCAP,Sammaan Capital Limited,India,NSE,INR,Common Stock,,Sammaan Capital Ltd.,Financial Services,SAMMAANCAP,EQ,INE148I01020,535789,Sammaan Capital Limited,SAMMAANCAP,Sammaan Capital Ltd,Active,A ,2.00,INE148I01020,Housing Finance Company,Equity,Financial Services,Financial Services,Finance,Housing Finance Company
SAPPHIRE,Sapphire Foods India Limited,India,NSE,INR,Common Stock,INE806T01012,Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE,EQ,INE806T01020,543397,Sapphire Foods India Limited,SAPPHIRE,Sapphire Foods India Ltd,Active,A ,2.00,INE806T01020,Restaurants,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants
SARDAEN,Sarda Energy & Minerals Limited,India,NSE,INR,Common Stock,INE385C01013,Sarda Energy and Minerals Ltd.,Metals & Mining,SARDAEN,EQ,INE385C01021,504614,Sarda Energy & Minerals Ltd,SARDAEN,Sarda Energy & Minerals Ltd-$,Active,A ,1.00,INE385C01021,Iron & Steel,Equity,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel
SAREGAMA,Saregama India Limited,India,NSE,INR,Common Stock,INE979A01025,Saregama India Ltd,Media Entertainment & Publication,SAREGAMA,EQ,INE979A01025,532163,Saregama India Ltd.,SAREGAMA,Saregama India Ltd,Active,A ,1.00,INE979A01025,Media & Entertainment,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,Media & Entertainment
